CUSTOMER_ID,SEX,AGE,ANNUAL_INCOME,NUMBER_OF_MONTHS,MARITAL_STATUS,LEASE
9088,M,57,23400.0,13,S,A
9116,M,35,26000.0,13,S,P
9121,W,47,20384.0,13,J,P
9148,M,64,24960.0,13,J,P
9156,M,38,12272.0,13,J,P
9171,M,45,34710.0,13,J,P
9175,M,62,19500.0,13,J,P
9183,M,60,22568.0,13,J,P
9191,M,35,16800.0,14,G,A
9211,M,43,14400.0,12,J,P
9215,W,41,15792.0,14,J,P
9225,M,65,34970.0,13,J,P
9237,M,40,26624.0,13,G,P
9246,M,37,21489.0,13,J,P
9279,M,50,29900.0,13,J,P
9304,M,66,20800.0,13,J,P
9316,W,54,7532.0,14,J,P
9324,M,51,20657.0,13,S,R
9330,M,41,50232.0,13,J,P
9331,M,45,16900.0,13,J,P
9339,M,63,28000.0,14,J,P
9358,W,49,4706.0,13,W,R
9370,W,47,16510.0,13,J,P
9375,M,42,33446.0,14,J,P
9380,M,48,24700.0,13,J,P
9394,M,38,18343.0,13,J,P
9402,M,67,13806.0,13,S,P
9406,M,56,23998.0,13,J,P
9414,M,40,44733.0,13,J,P
9415,M,56,18837.0,13,J,P
9421,M,36,35100.0,13,J,P
9422,W,50,7000.0,10,J,P
9432,W,37,14400.0,12,J,P
9444,M,58,20800.0,13,J,P
9459,M,36,16718.0,13,G,P
9463,W,50,18291.0,13,J,P
9491,M,55,33600.0,14,J,P
9500,W,68,12350.0,13,W,P
9522,M,62,20300.0,14,J,P
9535,M,48,26208.0,14,J,P
9557,W,38,25740.0,13,C,P
9558,M,59,20332.0,13,G,P
9585,M,37,21645.0,13,J,P
9588,W,48,16310.0,14,C,R
9632,M,48,28795.0,13,J,A
9644,M,51,22100.0,13,J,P
9649,M,47,26832.0,13,J,R
9650,W,45,19500.0,13,J,P
9668,M,44,31200.0,13,J,A
9674,W,59,19600.0,14,G,P
9700,W,54,23808.0,12,J,P
9703,M,58,27729.0,13,J,A
9714,M,54,36400.0,13,J,P
9741,M,60,19357.0,13,J,R
9743,M,69,32500.0,13,J,P
9747,W,73,20020.0,13,J,P
9758,M,51,52000.0,13,J,P
9785,M,38,16800.0,14,G,P
9786,M,35,20384.0,14,G,A
9845,M,46,20800.0,13,J,P
9852,M,61,22100.0,13,J,R
9865,W,47,40838.0,14,G,P
9871,M,52,10116.0,12,S,A
9872,M,64,24700.0,13,J,P
9879,M,51,26000.0,13,J,R
9886,M,52,27079.0,13,J,A
9887,M,37,31447.0,13,J,P
9893,W,65,37414.0,13,J,P
9908,M,62,26600.0,14,W,P
9912,M,44,33600.0,14,J,A
