CUSTOMER_ID,STATUS,SECTOR_TYPE,GOOD_VALUE,ADVANCE_VALUE,LOAN_VALUE,INSTALLMENT_VALUE,NUMBER_INSTALLMENT,GAPR,NIR,REFINANCED,FROM_REFINANCE
1765,CONCLUDED REGULARLY,FL,450.0,0.0,468.0,39.0,12,7.553,0.0,N,N
1765,CONCLUDED REGULARLY,FL,569.99,0.0,569.99,57.0,10,0.00384,0.00384,N,N
1765,CONCLUDED REGULARLY,FL,1677.78,0.0,1677.78,167.78,10,0.0026,0.0026,N,N
1765,CONCLUDED REGULARLY,FL,754.59,0.0,754.59,62.88,12,0.0,0.0,N,N
1780,CONCLUDED REGULARLY,FL,597.8,0.0,597.8,49.82,12,0.012,0.012,N,N
1780,CONCLUDED REGULARLY,FL,2630.88,700.0,1930.88,89.0,24,12.14246,9.13104,N,N
1780,CONCLUDED REGULARLY,FL,358.0,0.0,358.0,35.8,10,0.0,0.0,N,N
1780,CONCLUDED REGULARLY,FL,1014.97,0.0,1014.97,101.49,10,0.0,0.0,N,N
1780,CONCLUDED REGULARLY,FL,4000.0,0.0,4000.0,184.1,24,9.37553,8.99525,N,N
1782,CONCLUDED REGULARLY,CL,3200.0,200.0,3090.0,95.5,36,5.42,5.29,N,N
1782,CONCLUDED REGULARLY,FL,799.0,0.0,817.0,68.08,12,2.576,0.0,N,N
1782,EARLY EXPIRED,PL,18000.0,0.0,18697.81,231.85,120,8.982,8.502,Y,N
1782,CONCLUDED REGULARLY,FL,299.0,0.0,306.47,30.65,10,4.929,0.019,N,N
1782,EARLY EXPIRED,PL,30000.0,0.0,32720.28,474.0,108,11.38958,10.36593,Y,Y
1782,EARLY EXPIRED,PL,28000.0,0.0,29698.9,359.78,119,10.44066,9.45762,Y,Y
1826,EARLY EXPIRED,PL,5000.0,0.0,5524.72,103.0,84,16.36309,13.82501,Y,N
1839,CONCLUDED REGULARLY,FL,1790.0,790.0,1040.0,104.0,10,8.984,0.0,N,N
1839,CONCLUDED REGULARLY,FL,3300.0,0.0,3399.0,125.5,30,7.837,7.569,N,N
1839,CONCLUDED REGULARLY,FL,384.98,0.0,384.98,38.49,10,0.0,0.0,N,N
1843,CONCLUDED REGULARLY,FL,3380.0,880.0,2500.0,212.5,12,3.734,3.672,N,N
1843,EARLY EXPIRED,FL,5260.0,260.0,5000.0,95.94,60,6.47687,5.49852,Y,N
1843,EARLY EXPIRED,FL,500.0,0.0,500.0,35.46,15,23.60988,9.39894,Y,N
1843,EARLY EXPIRED,PL,15000.0,0.0,15900.0,260.0,84,10.26341,9.51605,N,Y
1853,CONCLUDED REGULARLY,FL,5400.0,3000.0,2400.0,207.4,12,6.975,6.761,N,N
1853,CONCLUDED REGULARLY,FL,399.99,0.0,399.99,40.0,10,9.3022,0.00545,N,N
1868,CONCLUDED REGULARLY,FL,369.0,0.0,369.0,40.01,10,19.547,17.988,N,N
1868,CONCLUDED REGULARLY,FL,399.0,0.0,399.0,39.9,10,0.0,0.0,N,N
1868,CONCLUDED REGULARLY,FL,249.0,0.0,249.0,24.9,10,0.0,0.0,N,N
1888,CONCLUDED REGULARLY,FL,1632.99,0.0,1632.99,163.3,10,0.00134,0.00134,N,N
1888,CONCLUDED REGULARLY,FL,773.5,0.0,783.5,78.35,10,2.84735,0.0,N,N
1907,CONCLUDED REGULARLY,FL,2278.0,703.0,1575.0,167.8,10,14.962,14.024,N,N
1907,CONCLUDED REGULARLY,FL,16800.0,9800.0,7000.0,144.0,54,4.601,4.507,N,N
1907,CONCLUDED REGULARLY,FL,413.0,0.0,413.0,34.42,12,0.018,0.018,N,N
1907,EARLY EXPIRED,PL,7000.0,0.0,7425.0,241.5,36,10.86,9.471,N,N
1907,CONCLUDED REGULARLY,PL,21000.0,0.0,22487.32,450.5,60,8.53904,7.49066,N,N
1921,CONCLUDED REGULARLY,CL,5800.0,800.0,5268.51,174.0,36,14.196,11.606,N,N
1921,CONCLUDED REGULARLY,FL,2611.0,783.0,1828.0,152.33,12,0.0,0.0,N,N
1921,CONCLUDED REGULARLY,PL,5500.0,0.0,5851.94,177.76,36,8.11623,5.89912,N,N
1921,EARLY EXPIRED,PL,5000.0,0.0,5000.0,75.45,84,7.94543,6.99452,Y,N
1933,CONCLUDED REGULARLY,FL,4201.2,0.0,4201.2,95.6,54,9.37336,8.99325,N,N
1951,CONCLUDED REGULARLY,FL,2000.0,1000.0,1000.0,100.0,10,0.0,0.0,N,N
1951,CONCLUDED REGULARLY,FL,499.0,21.0,499.0,49.9,10,9.896,0.0,N,N
1951,CONCLUDED REGULARLY,FL,728.0,0.0,749.0,31.25,24,2.913,0.128,N,N
1951,CONCLUDED REGULARLY,CL,9000.0,2000.0,7200.0,156.5,60,13.50598,10.98734,N,N
1956,CONCLUDED REGULARLY,FL,449.0,0.0,449.0,37.42,12,0.016,0.016,N,N
1956,CONCLUDED REGULARLY,FL,599.0,0.0,599.0,59.9,10,0.0,0.0,N,N
1956,CONCLUDED REGULARLY,FL,1300.0,0.0,1300.0,108.33,12,0.0,0.0,N,N
1956,CONCLUDED REGULARLY,FL,489.0,0.0,499.0,49.9,10,4.5286,0.0,N,N
1956,EARLY EXPIRED,PL,15000.0,0.0,15000.0,249.66,72,6.59358,6.15045,N,N
1966,CONCLUDED REGULARLY,FL,718.0,0.04,717.96,59.83,12,0.0,0.0,N,N
1966,CONCLUDED REGULARLY,PL,10000.0,0.0,10100.0,321.0,36,10.081,8.962,N,N
1966,CONCLUDED REGULARLY,CL,6000.0,1000.0,5000.0,231.0,24,11.70614,10.11928,N,N
1969,CONCLUDED REGULARLY,FL,955.2,0.0,970.2,53.9,18,1.992,0.0,N,N
1969,CONCLUDED REGULARLY,FL,400.0,0.0,400.0,40.0,10,0.0,0.0,N,N
1982,CONCLUDED REGULARLY,FL,599.0,0.0,599.0,64.15,10,19.329,12.80867,N,N
1982,CONCLUDED REGULARLY,FL,198.0,0.0,198.0,19.8,10,0.0,0.0,N,N
1997,CONCLUDED REGULARLY,FL,729.0,0.0,761.5,63.46,12,8.445,0.005,N,N
2011,CONCLUDED REGULARLY,CL,4400.0,2000.0,2618.85,99.0,30,15.888,9.982,N,N
2011,CONCLUDED REGULARLY,PL,7000.0,0.0,7105.0,229.09,36,12.42304,9.94952,N,N
2027,CONCLUDED REGULARLY,FL,1088.0,88.0,1020.0,85.0,12,3.734,0.0,N,N
2027,CONCLUDED REGULARLY,FL,1350.0,50.0,1345.5,112.15,12,6.634,0.041,N,N
2027,CONCLUDED REGULARLY,FL,1100.0,0.0,1100.0,110.0,10,17.69583,10.27483,N,N
2042,CONCLUDED REGULARLY,FL,349.0,0.0,349.0,61.2,6,19.167,17.665,N,N
2042,CONCLUDED REGULARLY,FL,270.0,0.0,270.0,47.35,6,19.196,17.689,N,N
2042,CONCLUDED REGULARLY,FL,350.0,0.0,350.0,61.35,6,18.997,17.519,N,N
2052,CONCLUDED REGULARLY,FL,2780.0,30.0,2783.0,247.5,12,12.883,12.18,N,N
2052,CONCLUDED REGULARLY,FL,2000.0,0.0,2120.0,88.33,24,6.77622,0.0,N,N
2052,CONCLUDED REGULARLY,FL,1574.7,0.0,1574.7,78.74,22,10.47666,7.99289,N,N
2061,CONCLUDED REGULARLY,FL,650.0,100.0,550.0,91.7,6,0.125,0.125,N,N
2061,EARLY EXPIRED,FL,649.0,0.0,681.5,28.4,24,4.855,0.014,N,N
2061,CONCLUDED REGULARLY,FL,800.0,200.0,630.0,63.0,10,20.16238,0.0,N,N
2072,CONCLUDED REGULARLY,FL,2150.0,0.0,2188.7,128.5,18,7.289,7.056,N,N
2072,CONCLUDED REGULARLY,FL,1703.96,0.0,1772.46,147.71,12,7.598,0.006,N,N
2072,CONCLUDED REGULARLY,FL,590.0,0.0,590.0,59.0,10,4.88499,0.0,N,N
